REQ-017,Mitglieder/CRM,Segmentierung & Verteiler,Mitgliedergruppen für Kommunikation und Auswertungen.,"• Filter (Status, Typ, Interessen)
• gespeicherte Segmente
• Export nach Segment",Should,"Admin, Kommunikation",Member,Segment kann gespeichert und für Mailing verwendet werden.,,
REQ-018,Mitglieder/CRM,Dubletten-Erkennung,Verhindert doppelte Mitglieder/Accounts.,"• Warnung bei gleicher E-Mail
• Merge-Prozess (Admin)
• Protokollierte Zusammenführung",Should,Admin,Member,System warnt; Merge erstellt nachvollziehbare Historie.,,
REQ-019,Events,"Eventverwaltung (Kalender, Details)","Events anlegen, pflegen und veröffentlichen.","• Titel, Beschreibung, Ort
• Datum/Uhrzeit, Serienevents
• Sichtbarkeit (öffentlich/privat)",Must,"Event-Manager, Admin",Event,"Event kann erstellt, bearbeitet und publiziert werden.",,
REQ-020,Events,Event-Anmeldung / RSVP,Teilnehmermanagement für Events.,"• Anmeldung für Mitglieder/öffentlich
• Kapazitätslimit
• Storno/No‑Show Kennzeichnung",Must,"Event-Manager, Mitglied",Registration,Anmeldungen werden gezählt; Kapazitätsgrenzen greifen.,,
REQ-021,Events,Warteliste & Nachrücken,"Wenn Event voll ist, Warteliste und automatisches Nachrücken.","• Wartelistenplatz
• Benachrichtigung bei Platz
• Nachrück-Fristen",Should,"Event-Manager, Mitglied",Registration,Bei freiem Platz wird Warteliste benachrichtigt; Status ändert sich.,,
REQ-022,Events,Ticketing / Gebühren (optional),Bezahlte Events inkl. Ticket/Beleg.,"• Preis pro Kategorie
• Gutschein/Ermäßigung (optional)
• Ticket/Bestätigung per Mail",Should,"Kassier, Event-Manager","Invoice, Payment, Ticket",Bezahlte Anmeldung erzeugt Rechnung/Beleg.,,
REQ-023,Events,Check‑in vor Ort (QR-Code),Schnelles Einchecken und Teilnehmerliste live.,"• QR‑Code pro Anmeldung
• Check‑in Status
• Offline‑Fallback (Exportliste)",Could,Event-Manager,Registration,Check-in setzt Status in Echtzeit; Exportliste ist verfügbar.,,
REQ-024,Events,Helferplanung & Aufgaben,"Schichten, Aufgaben, To-Dos rund um Events.","• Aufgabenlisten
• Helfer-Schichten
• Erinnerungen an Helfer",Should,"Event-Manager, Admin","Task, Volunteer",Helfer können sich eintragen; Schichtplan ist exportierbar.,,
REQ-025,Events,Kalender-Integration (iCal/Google),Events als Feed/Export bereitstellen.,"• iCal Feed
• Export .ics
• Einbettung auf Website",Could,"Mitglied, Öffentlichkeit",Event,iCal Link importierbar; Änderungen aktualisieren sich.,,
REQ-026,Kommunikation,E‑Mail Verwaltung (Automatisiertes Mailing),"E-Mails an Mitglieder/Segmente, automatisiert und manuell.","• Mailing an Segmente
• Testversand
• Zustellstatus (gesendet/bounce)",Must,"Kommunikation, Admin",EmailCampaign,Kampagne kann erstellt und an Segment gesendet werden.,Mail Provider (z. B. SendGrid/M365),Zustellbarkeit (SPF/DKIM) beachten.
REQ-027,Kommunikation,Template-Editor & Vorlagenpflege,Wiederverwendbare E-Mail Templates (HTML/Text) mit Variablen.,"• Vorlagen erstellen
• Platzhalter (Name, Event, Betrag)
• Versionierung/Entwurf",Must,Kommunikation,EmailTemplate,Template speichert Variablen; Vorschau zeigt korrekt gerenderte Mail.,,
REQ-028,Kommunikation,Automations/Journeys,Automatische Mails für typische Prozesse.,"• Welcome-Mail
• Event Reminder
• Beitrags-/Mahnungsmails",Should,"Kommunikation, Kassier",AutomationRule,Auslöser senden Mail mit korrektem Template und Empfängern.,,
REQ-029,Kommunikation,Newsletter Opt-in/Opt-out & Bounces,Rechtssicheres Newsletter-Handling.,"• Double Opt-in (optional)
• Abmeldelink
• Bounce/Complaint Handling",Must,Kommunikation,"Consent, EmailStatus",Abmeldung wirkt sofort; Einwilligung wird protokolliert.,,
REQ-030,Kommunikation,Mehrkanal-Nachrichten (optional),SMS/WhatsApp/Push für Reminder (wenn gewünscht).,"• SMS Provider
• WhatsApp Business (optional)
• Kanalpräferenzen pro User",Could,Kommunikation,Notification,User kann Kanal wählen; Versand wird geloggt.,SMS/WhatsApp Provider,Kosten/Compliance beachten.
REQ-031,Sponsoren & Lieferanten,Sponsorenverwaltung,"Sponsorenkontakte, Pakete, Zusagen, Leistungen.","• Sponsorprofile
• Sponsoring-Pakete
• Benefits/Leistungen tracken",Must,"Admin, Sponsor-Manager","Sponsor, Agreement","Sponsoren können gesucht, segmentiert und mit Verträgen verknüpft werden.",,
REQ-032,Sponsoren & Lieferanten,Lieferantenverwaltung,"Lieferantenkontakte, Leistungen und Bestellungen/Verträge.","• Lieferantenprofile
• Vertrags-/Kontaktinfos
• Historie der Zusammenarbeit",Must,Admin,Vendor,Lieferant kann angelegt und Dokumenten/Belegen zugeordnet werden.,,
REQ-033,Sponsoren & Lieferanten,Vertrags- & Dokumentenverknüpfung,"Sponsoren/Lieferanten mit Dokumenten, Rechnungen und Events verknüpfen.","• Link zu Dokumenten
• Link zu Rechnungen
• Link zu Events",Should,"Admin, Kassier","Sponsor, Vendor, Document, Invoice",Jeder Vertrag/Rechnung kann einem Sponsor/Lieferanten zugeordnet werden.,,
REQ-034,Dokumente,Dokumentenverwaltung,"Speichern, organisieren und teilen von Vereinsdokumenten.","• Upload/Download
• Ordnerstruktur
• Metadaten (Tags, Kategorie)",Must,"Admin, Vorstand",Document,Dokument ist auffindbar; Zugriff je Rolle ist durchgesetzt.,,
REQ-035,Dokumente,Dokumentrechte & Freigabe,"Workflow für Entwurf, Prüfung, Veröffentlichung.","• Status (Entwurf/Geprüft/Veröffentlicht)
• Freigabe durch Rolle
• Ablaufdatum/Archiv",Should,"Vorstand, Admin",Document,Nur freigegebene Dokumente sind sichtbar (je nach Sichtbarkeit).,,
REQ-036,Dokumente,Versionierung,"Änderungen nachvollziehbar machen, alte Versionen verfügbar.","• Versionsnummern
• Diff/Kommentar (optional)
• Restore früherer Version",Should,Admin,DocumentVersion,Versionen sind abrufbar; Restore erstellt neue Version.,,
REQ-037,Dokumente,Volltextsuche & Tags,Schnelle Auffindbarkeit auch bei vielen Dokumenten.,"• Suche in Metadaten
• Volltext (PDF/DOCX) optional
• Tags/Filter",Could,Alle,Document,Suche liefert relevante Treffer; Filter funktionieren.,,
REQ-038,Finanzen,Mini-Buchhaltung (Grundfunktionen),Einnahmen/Ausgaben erfassen und auswerten.,"• Buchungen erfassen
• Kategorien/Konten
• Einnahmen/Ausgaben Übersicht",Must,Kassier,"Transaction, Account","Buchungen können erfasst, geändert (mit Audit) und ausgewertet werden.",,
REQ-039,Finanzen,Rechnungsstellung,"Rechnungen für Beiträge, Events, Sponsoring.","• Rechnung erstellen
• PDF Export
• Nummernkreis",Must,Kassier,Invoice,Rechnung hat eindeutige Nummer; PDF ist generierbar.,,
REQ-040,Finanzen,Zahlungsverwaltung & Abgleich,Zahlungen erfassen und Rechnungen ausgleichen.,"• Zahlung erfassen (bar, Überweisung)
• Teilzahlungen
• Offene Posten Liste",Must,Kassier,"Payment, Invoice",Offene Posten stimmen; Teilzahlungen reduzieren Restbetrag korrekt.,,
REQ-041,Finanzen,Bankimport (CSV),Optionaler Import von Bankumsätzen zur Vereinfachung.,"• CSV Import
• Matching Vorschläge
• Manuelle Zuordnung",Should,Kassier,BankTransaction,Import funktioniert; Zuordnung erzeugt Zahlung/Buchung.,,
REQ-042,Finanzen,Mahnwesen,Automatisierte Erinnerung und Mahnungen für offene Beiträge/Rechnungen.,"• Mahnstufen
• Template je Stufe
• Protokoll der Mahnungen",Should,"Kassier, Kommunikation",DunningNotice,Mahnung wird nur bei offenen Posten gesendet; Historie wird gespeichert.,,
REQ-043,Finanzen,Belegmanagement,Quittungen/Belege hochladen und Buchungen zuordnen.,"• Upload Foto/PDF
• Zuordnung zu Buchung
• Steuerrelevante Metadaten (optional)",Should,Kassier,"Receipt, Transaction",Buchung kann Beleg haben; Beleg ist per Klick abrufbar.,,
REQ-044,Finanzen,Budget & Kostenstellen,Auswertung nach Event/Projekt (Diwali etc.).,"• Kostenstellen
• Budget pro Kostenstelle
• Soll/Ist Vergleich",Could,"Kassier, Vorstand","CostCenter, Budget",Soll/Ist ist pro Kostenstelle sichtbar.,,
REQ-045,Finanzen,Export für Steuer/Buchhaltung,Export der Daten (CSV/Excel) für externes System.,"• Buchungsjournal Export
• OP-Liste Export
• Sponsor-/Beitragslisten Export",Must,Kassier,Export,Export entspricht definierter Struktur und enthält notwendige Felder.,,
REQ-046,Öffentlicher Bereich,Öffentliche Eventseite,Events öffentlich darstellen und Anmeldung ermöglichen.,"• Eventliste
• Eventdetailseite
• Öffentliche Anmeldung",Must,"Öffentlichkeit, Mitglied",Event,Öffentliche Seite zeigt nur freigegebene Events; Anmeldung funktioniert.,,
REQ-047,Öffentlicher Bereich,News/Blog (optional),Einfache Inhaltsverwaltung für Vereinsnews.,"• Beiträge erstellen
• Kategorien/Tags
• Veröffentlichung/Archiv",Could,"Admin, Kommunikation",Post,Beiträge sind sortierbar; Entwurf/Publiziert Status.,,
REQ-048,Öffentlicher Bereich,Sponsorenseite,"Sponsoren sichtbar machen (Logo, Paket, Link).","• Sponsor-Listing
• Pakete/Badges
• Sichtbarkeit steuern",Should,"Admin, Sponsor-Manager",Sponsor,Nur freigegebene Sponsoren werden angezeigt.,,
REQ-049,Öffentlicher Bereich,Kontaktformular + Spam-Schutz,Kontaktaufnahme mit Captcha und Routing.,"• Formularfelder
• Captcha
• Weiterleitung an Mail/Queue",Must,"Öffentlichkeit, Admin",ContactMessage,Spam wird reduziert; Nachrichten landen beim richtigen Empfänger.,,
REQ-050,Reporting & Daten,Dashboards & KPIs,"Übersichten für Vorstand, Kassier, Eventteam.","• Mitgliederentwicklung
• Offene Beiträge
• Event KPIs (Anmeldungen, Einnahmen)",Must,"Vorstand, Kassier, Event-Manager",Report,Dashboard zeigt aktuelle Daten; Filter nach Zeitraum.,,
REQ-051,Reporting & Daten,Exports (CSV/Excel),Datenexporte für Auswertung und Archiv.,"• Mitgliederexport
• Event-Teilnehmerlisten
• Finanzexport",Must,"Admin, Kassier",Export,Exports respektieren Berechtigungen und enthalten definierte Spalten.,,
REQ-052,Reporting & Daten,Such- & Filterfunktionen,"Schnelles Finden in Mitgliedern, Events, Dokumenten, Rechnungen.","• Volltext/teilweise Suche
• Filter & Sortierung
• gespeicherte Views (optional)",Must,Alle Backoffice Rollen,Query,Suchen liefert Ergebnisse <2s bei typischen Datenmengen.,,
REQ-053,Betrieb & Qualität,Backup & Restore Konzept,Regelmäßige Backups inkl. Wiederherstellungstest.,"• DB Backup
• Dokument-Storage Backup
• Restore-Prozedur",Must,Admin/IT,Backup,Restore-Test ist dokumentiert und erfolgreich.,,
REQ-054,Betrieb & Qualität,Logging & Monitoring,Fehler- und Performance-Monitoring.,"• Error Tracking
• Metriken (Response Time)
• Alarmierung (optional)",Should,Admin/IT,Logs,Kritische Fehler sind auffindbar; Logs enthalten Korrelations-ID.,,
REQ-055,Betrieb & Qualität,Mehrsprachigkeit (DE/EN/HI optional),UI und Inhalte mehrsprachig.,"• UI-Übersetzungen
• Inhaltssprache pro Beitrag/Event
• Sprache pro Nutzer",Could,Alle,Locale,Sprache kann gewechselt werden; Fallback funktioniert.,,
REQ-056,Betrieb & Qualität,Barrierefreiheit (Basis),Mindestens WCAG-Basics für Formulare und Navigation.,"• Tastaturbedienung
• Kontraste
• ARIA Labels",Should,Alle,UI,Wichtige Flows sind ohne Maus bedienbar.,,
REQ-057,Betrieb & Qualität,Datenaufbewahrung & Archivierung,"Regeln, wie lange Daten/Dokumente gehalten werden.","• Aufbewahrungsfristen
• Archivstatus
• Lösch-/Anonymisierungsjobs",Must,"Admin, Vorstand",Policy,Archivierte Daten sind schreibgeschützt; Löschjobs protokolliert.,,
REQ-058,Betrieb & Qualität,API/Webhooks (optional),Schnittstellen für spätere Integrationen.,"• REST API (read)
• Webhooks (Event erstellt, Zahlung eingegangen)
• API Keys/Scopes",Could,Admin/IT,API,API ist gesichert; Rate Limits vorhanden.,,
REQ-059,Betrieb & Qualität,Konfiguration & Systemeinstellungen,"Zentrale Einstellungen des Vereins (Texte, Logos, Beiträge, Mail-Absender).","• Vereinsprofil
• Beitragssätze
• Mail-Settings",Must,Admin,Settings,Einstellungen wirken ohne Codeänderung; Änderungen sind auditiert.,,
ID,Bereich,Anforderung,Beschreibung,Funktionalitäten,Priorität,Zielrollen,Daten/Objekte,Akzeptanzkriterien,Abhängigkeiten,Hinweise/Risiken
REQ-060,Finanzen,"Finanz-Setup: Land/Profil, Währung, Geschäftsjahr","Konfigurierbares Finanzprofil pro Verein (Schweiz oder EU). Steuert Währung, Geschäftsjahr, VAT/MWST-Flags, Nummernkreise und Zahlungs-Defaults.","• FinanceProfile: CH oder EU (optional EU-Land-Code)
• Default currency (CHF/EUR) + Rundungsregeln
• Geschäftsjahr Start/Ende, Perioden
• Invoice numbering pattern pro Profil
• VAT/MWST Registrierung (ja/nein), VAT-ID/MWST-Nr. optional",Must,"Admin, Kassier",FinanceSettings,Finanzprofil ist änderbar (mit Audit). Neue Rechnungen/Buchungen verwenden Profil-Defaults; bestehende Daten bleiben unverändert.,"REQ-059 (Konfiguration), REQ-004 (Access Control)",Profilwechsel beeinflusst Anzeige/Exporte; Migration/Backfill muss bewusst gesteuert werden.
REQ-061,Finanzen,"Beleg- und Finanzdokumente: Storage, Integrität, Aufbewahrung","Finanzbelege und Rechnungs-PDFs werden als Dateien im Object Storage (RustFS) gespeichert, inkl. Integritätsmerkmalen und Retention-Strategie.","• Upload/Download von Receipt-Dateien (PDF/JPG/PNG) in RustFS
• Automatische Speicherung von Rechnungs-PDFs (und optional Mahnungs-PDFs)
• Checksum/Hash pro Datei zur Integritätsprüfung
• Retention Policy: finanzrelevante Dokumente werden nicht gelöscht, sondern archiviert",Must,"Kassier, Auditor, Admin","Receipt, InvoicePDF, FinanceDocument",Beleg-Download liefert die ursprünglich hochgeladene Datei; Hash-Check ist reproduzierbar; Löschen ist als Archive/Soft-Delete umgesetzt.,"REQ-057 (Datenaufbewahrung), Storage (RustFS)",Rechtliche Aufbewahrungspflichten variieren; Storage Lifecycle Policies müssen sauber dokumentiert werden.
REQ-062,Finanzen,"VAT/MWST: Steuercodes, Netto/Brutto, Auswertung und Export","Transaktionen und Rechnungspositionen unterstützen VAT/MWST-Codes (steuerbar, befreit, reduziert), Netto/Brutto-Beträge und VAT-Auswertungen.","• Konfigurierbare TaxCodes pro Profil (Rate, Beschreibung, steuerbar flag)
• InvoiceItem: net_amount, vat_rate, vat_amount, gross_amount
• VAT Summary Report (Zeitraum) + Export (CSV)
• Schwellwert-Tracking (z.B. CH MWST-Umsatzgrenze konfigurierbar) mit Warnung",Should,"Kassier, Auditor","TaxCode, VATSummary",VAT Summary entspricht den gebuchten TaxCodes; Export ist konsistent und prüfbar (Summe der Positionen = Rechnungstotal).,"REQ-045 (Export), REQ-060 (Profil)",Steuerlogik ist fehleranfällig; benötigt Tests und klare Rundungsregeln.
REQ-063,Finanzen,Rechnungs-PDF mit Schweizer QR-Zahlteil,"Für das CH-Profil kann das System Rechnungs-PDFs erzeugen, die einen QR-Zahlteil (QR-bill) enthalten.","• PDF-Generierung für Invoice (Download + Archiv)
• Option: QR-Zahlteil mit IBAN/QR-IBAN, Referenz, Betrag, Empfänger
• QR-Code-Generierung gemäss QR-Rechnung Spezifikation
• Fallback: klassische Rechnung ohne QR, wenn nicht konfiguriert",Should,Kassier,"Invoice, InvoicePDF",QR-Zahlteil ist in Banking-Apps scanbar; PDF enthält Pflichtfelder und ist wiederholbar erzeugbar (idempotent).,"REQ-039 (Rechnungsstellung), REQ-060 (Profil), REQ-061 (Storage)",QR-Spezifikation ändert sich; regelmässige Updates/Tests nötig.
REQ-064,Finanzen,EU-Rechnungs-Compliance: Pflichtfelder und Templates je Profil,"Für EU-Profil(e) werden Rechnungstemplates so erweitert, dass Pflichtfelder und Hinweise (VAT-ID, Steuerbefreiung, Reverse Charge etc.) je Land/Profil abbildbar sind.","• Template-Engine für Invoice PDFs (Logo, Adresse, VAT-ID, Zahlungsbedingungen)
• Konfigurierbare Pflichtfelder je Profil
• Mehrsprachige Rechnungstexte via i18n Keys",Should,"Kassier, Admin",InvoiceTemplate,Admin kann Template-Felder konfigurieren; bei fehlenden Pflichtfeldern blockiert das System den Versand (Validation).,"REQ-039, REQ-060, i18n Guidelines",EU-Länder unterscheiden sich stark; Start mit EU-Baseline + per Land erweiterbar.
REQ-065,Finanzen,eInvoicing-Readiness (EN 16931/Peppol) als Erweiterungspunkt,"Die Datenmodelle und Exporte sind so gestaltet, dass später strukturierte eInvoices (EN 16931) exportiert oder via Provider versendet werden können.","• EInvoice Export Endpunkt (z.B. EN16931/UBL/CII) – optional/feature-flag
• Mapping von Invoice/Items/Taxes/Parties auf eInvoicing Datenmodell
• CIUS/Länderspezifische Extensions als Plugin-Konzept",Could,"Admin, Kassier",EInvoiceExport,Eine Beispielrechnung kann in ein strukturiertes Format exportiert werden und enthält konsistente Tax/Party Daten.,"REQ-060, REQ-062, REQ-064",Hoher Aufwand; braucht klare Country-Roadmap und evtl. externen Provider.
REQ-066,Finanzen,Periodenabschluss & Locking (Jahresabschluss light),"Unterstützung für Geschäftsjahr-Perioden, Abschluss und Sperrung, damit nach dem Abschluss keine stillen Änderungen möglich sind.","• Fiscal periods (Monat/Quartal/Jahr) basierend auf FinanceSettings
• Lock/Unlock (nur Admin) mit Audit
• Korrekturen nur via Storno-/Korrekturbuchung nach Lock
• Carry-forward von Salden (optional) oder Export für Treuhand",Should,"Kassier, Auditor","FiscalPeriod, ClosingEntry",Nach Lock können Buchungen in der Periode nicht mehr geändert/gelöscht werden; Korrekturen erzeugen neue Entries.,"REQ-011 (Audit), REQ-038/039/040",Erfordert saubere Domain-Events und Tests; UI muss verständlich sein.
REQ-067,Finanzen,Freigabe-Workflow für Zahlungen/Spesen (Vier-Augen-Prinzip),"Unterstützung für Freigaben bei Auszahlungen (Lieferanten, Spesen) mit Schwellenwerten und Rollen.","• Payment status: Draft -> Submitted -> Approved -> Paid
• Schwellenwerte: ab Betrag X braucht Vorstand-Freigabe
• Audit-Log: wer hat wann freigegeben
• Optional: Spesen-Claim Workflow (Member submits, Kassier prüft, Vorstand freigibt)",Should,"Kassier, Vorstand, Auditor","PaymentApproval, ExpenseClaim",Zahlungen über Schwelle können ohne Freigabe nicht als Paid markiert werden; alle Schritte sind im Audit sichtbar.,"REQ-004 (Access Control), REQ-011 (Audit), REQ-040 (Zahlungen)",Prozess-Komplexität; sollte per Verein konfigurierbar sein.
REQ-068,Finanzen,Sparte/Projekt-Zuordnung für steuerliche und interne Auswertungen,Optionaler Dimension-Tag (Sparte/Projekt) auf Buchungen und Rechnungspositionen für Auswertungen (z.B. Mitgliedschaft vs Eventbetrieb).,"• ActivityArea auf Transaction und InvoiceItem (enum oder definierbar)
• Reports: P&L nach Sparte/Projekt
• Export inklusive Sparte/Projekt-Spalte",Could,"Kassier, Vorstand, Auditor","ActivityArea, CostCenter",Sparte ist filterbar; Report zeigt Summen pro Sparte; Export enthält Sparte.,"REQ-044 (Kostenstellen), REQ-045 (Export)",Tax-Interpretation pro Kanton/Land; als optionales Feature bauen.
REQ-069,Finanzen,Banking-Import Upgrade: ISO 20022 (camt) und SEPA-Referenzen,"Zusätzlich zum CSV-Import können standardisierte Bankformate (ISO 20022 camt.053/054) importiert werden, inkl. Referenzen für Matching.","• Import camt.053/054 (XML) optional
• Erkennung/Parsing von Referenzen (z.B. QR-Referenz, End-to-End-ID)
• Matching-Verbesserungen: automatische Zuordnung zu offenen Rechnungen",Could,Kassier,BankStatementImport,Ein camt-File kann importiert werden; System erstellt ImportItems mit Datum/Betrag/Referenz; Matching-Vorschläge funktionieren.,"REQ-041 (Bankimport), REQ-040 (Zahlungen)",Parsing/Edge Cases je Bank; ggf. Bibliothek nötig.
REQ-070,Finanzen,Revisionssicheres Archiv und Retention Enforcement,"Finanzdokumente werden revisionssicher archiviert (Unveränderbarkeit, Nachvollziehbarkeit, Integrität) und dürfen innerhalb der Aufbewahrungsfrist nicht physisch gelöscht werden.","• Object-Storage Versioning/WORM oder Object-Lock Option (konfigurierbar je Environment)
• DELETE-Endpunkte führen zu Archivierung (Soft-Delete) statt physischer Löschung
• Audit-Event für Archivierung/Restore/Hard-Delete nach Retention
• Audit-Paket Export (ZIP) pro Periode inkl. Manifest (Hashes, Metadaten)
• Dokumentierter Lifecycle (Retention, Legal Hold, Restore-Prozess)",Must,"Kassier, Auditor, Admin","FinanceDocument, Receipt, InvoicePDF, BankImportFile, AuditManifest",Innerhalb der Retention ist kein Hard-Delete möglich; DELETE setzt Archived-Flag und Datei bleibt im Storage; Audit-Paket kann erneut erzeugt werden und Hashes stimmen überein.,"REQ-061, REQ-057, Storage (RustFS)",Aufbewahrungspflichten variieren je Land; Object-Lock/WORM muss vom Storage unterstützt und getestet werden; GDPR Löschwünsche können durch gesetzliche Aufbewahrung eingeschränkt sein.
REQ-071,Finanzen,Rechnungsnummern-Serien und unveränderbare Nummernvergabe,"Rechnungen erhalten fortlaufende, eindeutige Nummern pro Serie (z.B. pro Geschäftsjahr/Profil). Nummernvergabe ist konkurenzsicher und die Nummer ist nach Versand/Finalisierung unveränderbar.","• Konfigurierbare NumberSeries (Prefix, Suffix, Separator, Padding, Reset-Regel)
• Transaktional/konkurenzsichere Nummernvergabe (DB-seitig) pro Tenant+Serie
• InvoiceNumber ist nach Status Sent/Issued/PartiallyPaid/Paid unveränderbar
• Report für Nummern-Gaps mit Begründung (Cancelled/Storno/Draft verworfen)
• Migration/Backfill für bestehende Rechnungen ohne Nummer",Must,"Kassier, Admin, Auditor","Invoice, NumberSeries, InvoiceNumberAudit",Bei paralleler Rechnungserstellung entstehen keine Duplikate; ein Versuch die Nummer nach Versand zu ändern wird abgelehnt und auditiert; Gap-Report ist exportierbar.,"REQ-039, REQ-060, REQ-011",Einige Länder verlangen lückenlose Nummerierung oder zusätzliche Regeln; Konfiguration muss pro Jurisdiktion dokumentiert werden.
